merge_column,Sample,kefir type,Stage,data_source
TG_ID061_WG_T5_S133_host_removed_R2.fastq.gz,ID061,WG,T5,This study
TG_ID053_MG_T5_S90_host_removed_R1.fastq.gz,ID053,MG,T5,This study
TG_ID056_WG_T3_S59_host_removed_R2.fastq.gz,ID056,WG,T3,This study
TG_ID092_WL_T4_S23_host_removed_R2.fastq.gz,ID092,WL,T4,This study
TG_BR_WLC_S386_host_removed_R2.fastq.gz,BR,Medium control,T0,This study
TG_ID010_ML_T3_S108_host_removed_R2.fastq.gz,ID010,ML,T3,This study
TG_ID056_WL_T2_S47_host_removed_R1.fastq.gz,ID056,WL,T2,This study
TG_ID087_WG_T3_S159_host_removed_R2.fastq.gz,ID087,WG,T3,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID043_ML_T1_S162_host_removed_R1.fastq.gz,ID043,ML,T1,This study
TG_ID010_ML_T5_S120_host_removed_R1.fastq.gz,ID010,ML,T5,This study
TG_GO_MLC_S190_host_removed_R2.fastq.gz,GO,Medium control,T0,This study
TG_ID110_WG_T3_S20_host_removed_R1.fastq.gz,ID110,WG,T3,This study
TG_ID086_WL_T5_S6_host_removed_R2.fastq.gz,ID086,WL,T5,This study
TG_ID085_WG_T3_S99_host_removed_R1.fastq.gz,ID085,WG,T3,This study
TG_LO_MLC_S119_host_removed_R2.fastq.gz,LO,Medium control,T0,This study
TG_ID054_ML_T6_S34_host_removed_R2.fastq.gz,ID054,ML,T6,This study
TG_ID092_WL_T2_S172_host_removed_R1.fastq.gz,ID092,WL,T2,This study
TG_FL_T2_WG_0AN_S180_host_removed_R2.fastq.gz,FL,WG,T0,This study
TG_ID014_MG_T3_S62_host_removed_R1.fastq.gz,ID014,MG,T3,This study
TG_ID079_WG_T1_S53_host_removed_R2.fastq.gz,ID079,WG,T1,This study
TG_ID012_MG_T1_S361_host_removed_R2.fastq.gz,ID012,MG,T1,This study
TG_ID092_WG_T2_S160_host_removed_R2.fastq.gz,ID092,WG,T2,This study
TG_GO_MLC_S190_host_removed_R1.fastq.gz,GO,Medium control,T0,This study
TG_ID110_WG_T4_S21_host_removed_R2.fastq.gz,ID110,WG,T4,This study
TG_ID096_WL_T1_S117_host_removed_R1.fastq.gz,ID096,WL,T1,This study
TG_ID053_MG_T2_S371_host_removed_R2.fastq.gz,ID053,MG,T2,This study
TG_ID036_MG_T5_S137_host_removed_R1.fastq.gz,ID036,MG,T5,This study
TG_ID082_WL_T2_S345_host_removed_R1.fastq.gz,ID082,WL,T2,This study
TG_ID083_WG_T3_S170_host_removed_R1.fastq.gz,ID083,WG,T3,This study
TG_ID097_WL_T3_S177_host_removed_R2.fastq.gz,ID097,WL,T3,This study
TG_ID050_ML_T2_S144_host_removed_R1.fastq.gz,ID050,ML,T2,This study
TG_ID012_ML_T5_S141_host_removed_R2.fastq.gz,ID012,ML,T5,This study
TG_LO_T1_ML_0AN_S49_host_removed_R1.fastq.gz,LO,ML,T0,This study
TG_ID050_ML_T2_S144_host_removed_R2.fastq.gz,ID050,ML,T2,This study
TG_ID103_WL_T2_S85_host_removed_R1.fastq.gz,ID103,WL,T2,This study
TG_GO_T1_ML_0AN_S25_host_removed_R2.fastq.gz,GO,ML,T0,This study
TG_ID029_ML_T2_S16_host_removed_R2.fastq.gz,ID029,ML,T2,This study
TG_ID052_ML_T5_S155_host_removed_R2.fastq.gz,ID052,ML,T5,This study
TG_ID056_WG_T4_S33_host_removed_R2.fastq.gz,ID056,WG,T4,This study
TG_ID060_WL_T2_S187_host_removed_R2.fastq.gz,ID060,WL,T2,This study
TG_ID086_WL_T3_S147_host_removed_R1.fastq.gz,ID086,WL,T3,This study
TG_ID053_ML_T5_S114_host_removed_R2.fastq.gz,ID053,ML,T5,This study
TG_ID054_MG_T5_S93_host_removed_R2.fastq.gz,ID054,MG,T5,This study
TG_ID125_ML_T1_S162_host_removed_R2.fastq.gz,ID125,ML,T1,This study
TG_ID061_WL_T5_S145_host_removed_R1.fastq.gz,ID061,WL,T5,This study
TG_ID014_MG_T1_S1_host_removed_R2.fastq.gz,ID014,MG,T1,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID092_WG_T5_S82_host_removed_R2.fastq.gz,ID092,WG,T5,This study
TG_ID125_MG_T5_S102_host_removed_R2.fastq.gz,ID125,MG,T5,This study
TG_ID113_WG_T6_S100_host_removed_R2.fastq.gz,ID113,WG,T6,This study
TG_ID097_WL_T2_S153_host_removed_R2.fastq.gz,ID097,WL,T2,This study
TG_ID029_MG_T3_S142_host_removed_R1.fastq.gz,ID029,MG,T3,This study
TG_ID029_MG_T3_S77_host_removed_R1.fastq.gz,ID029,MG,T3,This study
TG_ID062_WG_T2_S320_host_removed_R2.fastq.gz,ID062,WG,T2,This study
TG_ID107_WG_T4_S106_host_removed_R1.fastq.gz,ID107,WG,T4,This study
TG_ID093_WG_T1_S163_host_removed_R2.fastq.gz,ID093,WG,T1,This study
TG_ID056_WL_T6_S24_host_removed_R2.fastq.gz,ID056,WL,T6,This study
TG_ID086_WG_T4_S43_host_removed_R2.fastq.gz,ID086,WG,T4,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID089_WG_T5_S66_host_removed_R1.fastq.gz,ID089,WG,T5,This study
TG_ID010_MG_T5_S176_host_removed_R2.fastq.gz,ID010,MG,T5,This study
TG_ID043_MG_T1_S150_host_removed_R2.fastq.gz,ID043,MG,T1,This study
TG_ID026_ML_T2_S157_host_removed_R1.fastq.gz,ID026,ML,T2,This study
TG_ID054_MG_T3_S383_host_removed_R2.fastq.gz,ID054,MG,T3,This study
TG_ID026_MG_T2_S3_host_removed_R1.fastq.gz,ID026,MG,T2,This study
TG_ID087_WG_T2_S334_host_removed_R2.fastq.gz,ID087,WG,T2,This study
TG_ID124_ML_T6_S119_host_removed_R2.fastq.gz,ID124,ML,T6,This study
TG_ID103_WL_T2_S85_host_removed_R1.fastq.gz,ID103,WL,T2,This study
TG_FL_T2_WG_0AN_S328_host_removed_R1.fastq.gz,FL,WG,T0,This study
TG_ID054_ML_T3_S360_host_removed_R1.fastq.gz,ID054,ML,T3,This study
TG_ID083_WG_T3_S170_host_removed_R2.fastq.gz,ID083,WG,T3,This study
TG_ID060_WL_T3_S109_host_removed_R2.fastq.gz,ID060,WL,T3,This study
TG_AP_T2_WG_0AN_S181_host_removed_R2.fastq.gz,AP,WG,T0,This study
TG_ID110_WL_T2_S177_host_removed_R2.fastq.gz,ID110,WL,T2,This study
TG_ID087_WL_T5_S30_host_removed_R2.fastq.gz,ID087,WL,T5,This study
TG_ID092_WG_T3_S58_host_removed_R1.fastq.gz,ID092,WG,T3,This study
TG_ID049_ML_T5_S139_host_removed_R2.fastq.gz,ID049,ML,T5,This study
TG_ID084_WL_T2_S369_host_removed_R2.fastq.gz,ID084,WL,T2,This study
TG_ID043_MG_T2_S174_host_removed_R1.fastq.gz,ID043,MG,T2,This study
TG_ID086_WG_T5_S89_host_removed_R1.fastq.gz,ID086,WG,T5,This study
TG_ID097_WG_T5_S68_host_removed_R2.fastq.gz,ID097,WG,T5,This study
TG_ID048_ML_T4_S14_host_removed_R1.fastq.gz,ID048,ML,T4,This study
TG_ID048_MG_T6_S43_host_removed_R1.fastq.gz,ID048,MG,T6,This study
TG_ID083_WG_T4_S39_host_removed_R1.fastq.gz,ID083,WG,T4,This study
TG_ID084_WL_T5_S53_host_removed_R1.fastq.gz,ID084,WL,T5,This study
TG_ID050_MG_T2_S192_host_removed_R2.fastq.gz,ID050,MG,T2,This study
TG_ID029_MG_T3_S142_host_removed_R2.fastq.gz,ID029,MG,T3,This study
TG_ID049_MG_T5_S127_host_removed_R2.fastq.gz,ID049,MG,T5,This study
TG_ID061_WL_T3_S116_host_removed_R1.fastq.gz,ID061,WL,T3,This study
TG_ID014_ML_T3_S81_host_removed_R1.fastq.gz,ID014,ML,T3,This study
TG_ID089_WL_T5_S78_host_removed_R2.fastq.gz,ID089,WL,T5,This study
TG_ID062_WG_T3_S181_host_removed_R2.fastq.gz,ID062,WG,T3,This study
TG_FL_T3_WG_0AN_S179_host_removed_R2.fastq.gz,FL,WG,T0,This study
TG_ID036_ML_T4_S10_host_removed_R1.fastq.gz,ID036,ML,T4,This study
TG_ID043_ML_T6_S174_host_removed_R1.fastq.gz,ID043,ML,T6,This study
TG_ID115_ML_T1_S122_host_removed_R1.fastq.gz,ID115,ML,T1,This study
TG_ID060_WL_T3_S109_host_removed_R2.fastq.gz,ID060,WL,T3,This study
TG_ID092_WG_T4_S17_host_removed_R1.fastq.gz,ID092,WG,T4,This study
TG_ID085_WL_T3_S111_host_removed_R1.fastq.gz,ID085,WL,T3,This study
TG_ID082_WG_T5_S131_host_removed_R1.fastq.gz,ID082,WG,T5,This study
TG_ID032_ML_T2_S324_host_removed_R1.fastq.gz,ID032,ML,T2,This study
TG_ID029_MG_T5_S154_host_removed_R2.fastq.gz,ID029,MG,T5,This study
TG_ID037_MG_T5_S45_host_removed_R2.fastq.gz,ID037,MG,T5,This study
TG_ID092_WL_T4_S23_host_removed_R1.fastq.gz,ID092,WL,T4,This study
TG_ID056_WG_T4_S33_host_removed_R1.fastq.gz,ID056,WG,T4,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID036_ML_T5_S149_host_removed_R2.fastq.gz,ID036,ML,T5,This study
TG_ID082_WL_T3_S400_host_removed_R2.fastq.gz,ID082,WL,T3,This study
TG_ID054_ML_T4_S58_host_removed_R1.fastq.gz,ID054,ML,T4,This study
TG_ID009_ML_T6_S28_host_removed_R1.fastq.gz,ID009,ML,T6,This study
TG_ID107_WL_T5_S111_host_removed_R2.fastq.gz,ID107,WL,T5,This study
TG_ID086_WG_T3_S135_host_removed_R1.fastq.gz,ID086,WG,T3,This study
TG_ID026_MG_T2_S3_host_removed_R2.fastq.gz,ID026,MG,T2,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID115_MG_T3_S95_host_removed_R2.fastq.gz,ID115,MG,T3,This study
TG_ID107_WL_T1_S86_host_removed_R2.fastq.gz,ID107,WL,T1,This study
TG_ID124_ML_T3_S160_host_removed_R1.fastq.gz,ID124,ML,T3,This study
TG_ID010_ML_T3_S108_host_removed_R1.fastq.gz,ID010,ML,T3,This study
TG_ID014_ML_T2_S4_host_removed_R1.fastq.gz,ID014,ML,T2,This study
TG_ID020_MG_T2_S323_host_removed_R1.fastq.gz,ID020,MG,T2,This study
TG_ID029_MG_T2_S15_host_removed_R2.fastq.gz,ID029,MG,T2,This study
TG_ID050_ML_T6_S179_host_removed_R2.fastq.gz,ID050,ML,T6,This study
TG_ID060_WG_T6_S121_host_removed_R2.fastq.gz,ID060,WG,T6,This study
TG_GO_MLC_S190_host_removed_R1.fastq.gz,GO,Medium control,T0,This study
TG_ID056_WG_T5_S83_host_removed_R1.fastq.gz,ID056,WG,T5,This study
TG_ID107_WG_T3_S137_host_removed_R1.fastq.gz,ID107,WG,T3,This study
TG_ID050_MG_T4_S83_host_removed_R2.fastq.gz,ID050,MG,T4,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID082_WL_T4_S84_host_removed_R1.fastq.gz,ID082,WL,T4,This study
TG_ID096_WL_T5_S92_host_removed_R1.fastq.gz,ID096,WL,T5,This study
TG_ID036_MG_T5_S137_host_removed_R1.fastq.gz,ID036,MG,T5,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID088_WG_T4_S47_host_removed_R1.fastq.gz,ID088,WG,T4,This study
TG_ID088_WL_T3_S100_host_removed_R2.fastq.gz,ID088,WL,T3,This study
TG_ID061_WL_T6_S169_host_removed_R2.fastq.gz,ID061,WL,T6,This study
TG_ID092_WL_T3_S70_host_removed_R1.fastq.gz,ID092,WL,T3,This study
TG_ID050_MG_T3_S385_host_removed_R1.fastq.gz,ID050,MG,T3,This study
TG_ID085_WL_T4_S42_host_removed_R1.fastq.gz,ID085,WL,T4,This study
TG_ID096_WL_T2_S46_host_removed_R1.fastq.gz,ID096,WL,T2,This study
TG_ID012_ML_T4_S140_host_removed_R1.fastq.gz,ID012,ML,T4,This study
TG_ID058_WG_T4_S35_host_removed_R1.fastq.gz,ID058,WG,T4,This study
TG_ID010_ML_T3_S108_host_removed_R2.fastq.gz,ID010,ML,T3,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID060_WL_T2_S187_host_removed_R1.fastq.gz,ID060,WL,T2,This study
TG_ID110_WG_T2_S167_host_removed_R2.fastq.gz,ID110,WG,T2,This study
TG_SK_MLC_S131_host_removed_R2.fastq.gz,SK,Medium control,T0,This study
TG_ID089_WG_T2_S380_host_removed_R2.fastq.gz,ID089,WG,T2,This study
TG_ID086_WL_T3_S147_host_removed_R1.fastq.gz,ID086,WL,T3,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID092_WL_T2_S172_host_removed_R1.fastq.gz,ID092,WL,T2,This study
TG_FL_T3_WG_0AN_S179_host_removed_R2.fastq.gz,FL,WG,T0,This study
TG_ID088_WL_T5_S54_host_removed_R2.fastq.gz,ID088,WL,T5,This study
TG_ID043_MG_T6_S168_host_removed_R1.fastq.gz,ID043,MG,T6,This study
TG_ID083_WG_T1_S3_host_removed_R2.fastq.gz,ID083,WG,T1,This study
TG_ID026_ML_T2_S157_host_removed_R2.fastq.gz,ID026,ML,T2,This study
TG_ID037_MG_T6_S69_host_removed_R1.fastq.gz,ID037,MG,T6,This study
TG_ID087_WG_T3_S159_host_removed_R1.fastq.gz,ID087,WG,T3,This study
TG_ID088_WL_T5_S54_host_removed_R2.fastq.gz,ID088,WL,T5,This study
TG_ID093_WG_T3_S65_host_removed_R2.fastq.gz,ID093,WG,T3,This study
TG_ID050_MG_T1_S180_host_removed_R2.fastq.gz,ID050,MG,T1,This study
TG_EC_S72_host_removed_R2.fastq.gz,EC,Extraction control,T0,This study
TG_ID086_WL_T3_S147_host_removed_R2.fastq.gz,ID086,WL,T3,This study
TG_ID009_MG_T4_S54_host_removed_R2.fastq.gz,ID009,MG,T4,This study
TG_ID026_MG_T3_S130_host_removed_R1.fastq.gz,ID026,MG,T3,This study
TG_ID082_WL_T4_S84_host_removed_R2.fastq.gz,ID082,WL,T4,This study
TG_ID061_WG_T5_S133_host_removed_R1.fastq.gz,ID061,WG,T5,This study
TG_ID107_WG_T2_S136_host_removed_R2.fastq.gz,ID107,WG,T2,This study
TG_ID050_ML_T1_S132_host_removed_R2.fastq.gz,ID050,ML,T1,This study
TG_ID083_WL_T3_S182_host_removed_R1.fastq.gz,ID083,WL,T3,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID086_WG_T4_S43_host_removed_R1.fastq.gz,ID086,WG,T4,This study
TG_ID009_ML_T6_S28_host_removed_R2.fastq.gz,ID009,ML,T6,This study
TG_ID083_WL_T3_S182_host_removed_R1.fastq.gz,ID083,WL,T3,This study
TG_ID113_WG_T3_S71_host_removed_R1.fastq.gz,ID113,WG,T3,This study
TG_ID026_MG_T3_S130_host_removed_R2.fastq.gz,ID026,MG,T3,This study
TG_ID054_MG_T4_S57_host_removed_R2.fastq.gz,ID054,MG,T4,This study
TG_ID054_ML_T5_S10_host_removed_R1.fastq.gz,ID054,ML,T5,This study
TG_ID103_WG_T3_S69_host_removed_R1.fastq.gz,ID103,WG,T3,This study
TG_ID010_ML_T4_S80_host_removed_R1.fastq.gz,ID010,ML,T4,This study
TG_ID056_WL_T3_S71_host_removed_R1.fastq.gz,ID056,WL,T3,This study
TG_ID048_ML_T2_S148_host_removed_R1.fastq.gz,ID048,ML,T2,This study
TG_ID037_MG_T4_S29_host_removed_R2.fastq.gz,ID037,MG,T4,This study
TG_BR_T1_WL_0AN_S363_host_removed_R2.fastq.gz,BR,WL,T0,This study
TG_ID029_ML_T2_S16_host_removed_R1.fastq.gz,ID029,ML,T2,This study
TG_ID056_WG_T3_S59_host_removed_R1.fastq.gz,ID056,WG,T3,This study
TG_SK_T2_ML_0AE_S73_host_removed_R2.fastq.gz,SK,ML,T0,This study
TG_ID056_WG_T3_S59_host_removed_R2.fastq.gz,ID056,WG,T3,This study
TG_ID097_WL_T5_S9_host_removed_R1.fastq.gz,ID097,WL,T5,This study
TG_SK_T2_ML_0AN_S2_host_removed_R1.fastq.gz,SK,ML,T0,This study
TG_ID125_ML_T5_S120_host_removed_R1.fastq.gz,ID125,ML,T5,This study
TG_ID070_WL_T1_S105_host_removed_R1.fastq.gz,ID070,WL,T1,This study
TG_ID056_WL_T2_S47_host_removed_R2.fastq.gz,ID056,WL,T2,This study
TG_ID107_WG_T5_S107_host_removed_R1.fastq.gz,ID107,WG,T5,This study
TG_ID058_WG_T5_S60_host_removed_R1.fastq.gz,ID058,WG,T5,This study
TG_ID097_WG_T2_S184_host_removed_R2.fastq.gz,ID097,WG,T2,This study
TG_ID061_WL_T4_S38_host_removed_R1.fastq.gz,ID061,WL,T4,This study
TG_ID048_ML_T5_S31_host_removed_R1.fastq.gz,ID048,ML,T5,This study
TG_ID087_WL_T4_S46_host_removed_R1.fastq.gz,ID087,WL,T4,This study
TG_ID070_WG_T1_S188_host_removed_R1.fastq.gz,ID070,WG,T1,This study
TG_ID061_WG_T4_S37_host_removed_R1.fastq.gz,ID061,WG,T4,This study
TG_ID043_ML_T3_S175_host_removed_R1.fastq.gz,ID043,ML,T3,This study
TG_ID037_ML_T2_S173_host_removed_R2.fastq.gz,ID037,ML,T2,This study
TG_SK_MLC_S131_host_removed_R2.fastq.gz,SK,Medium control,T0,This study
TG_ID054_MG_T2_S151_host_removed_R1.fastq.gz,ID054,MG,T2,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_FU_MLC_S107_host_removed_R2.fastq.gz,FU,Medium control,T0,This study
TG_ID048_ML_T2_S148_host_removed_R1.fastq.gz,ID048,ML,T2,This study
TG_ID088_WG_T3_S183_host_removed_R2.fastq.gz,ID088,WG,T3,This study
TG_ID012_MG_T1_S361_host_removed_R1.fastq.gz,ID012,MG,T1,This study
TG_ID110_WG_T3_S20_host_removed_R2.fastq.gz,ID110,WG,T3,This study
TG_ID070_WG_T5_S32_host_removed_R2.fastq.gz,ID070,WG,T5,This study
TG_ID026_MG_T3_S130_host_removed_R2.fastq.gz,ID026,MG,T3,This study
TG_ID083_WG_T1_S3_host_removed_R2.fastq.gz,ID083,WG,T1,This study
TG_ID052_MG_T3_S64_host_removed_R1.fastq.gz,ID052,MG,T3,This study
TG_ID097_WG_T5_S68_host_removed_R1.fastq.gz,ID097,WG,T5,This study
TG_ID053_MG_T3_S89_host_removed_R1.fastq.gz,ID053,MG,T3,This study
TG_ID092_WG_T4_S17_host_removed_R2.fastq.gz,ID092,WG,T4,This study
TG_ID054_MG_T6_S22_host_removed_R2.fastq.gz,ID054,MG,T6,This study
TG_ID115_MG_T1_S93_host_removed_R1.fastq.gz,ID115,MG,T1,This study
TG_ID053_MG_T5_S90_host_removed_R2.fastq.gz,ID053,MG,T5,This study
TG_ID115_ML_T4_S125_host_removed_R1.fastq.gz,ID115,ML,T4,This study
TG_ID014_ML_T2_S4_host_removed_R2.fastq.gz,ID014,ML,T2,This study
TG_ID089_WG_T5_S66_host_removed_R2.fastq.gz,ID089,WG,T5,This study
TG_ID058_WG_T1_S2_host_removed_R2.fastq.gz,ID058,WG,T1,This study
TG_ID086_WG_T3_S135_host_removed_R1.fastq.gz,ID086,WG,T3,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID042_ML_T1_S114_host_removed_R2.fastq.gz,ID042,ML,T1,This study
TG_ID107_WG_T1_S135_host_removed_R1.fastq.gz,ID107,WG,T1,This study
TG_ID084_WG_T1_S354_host_removed_R2.fastq.gz,ID084,WG,T1,This study
TG_SK_T1_ML_0AN_S61_host_removed_R2.fastq.gz,SK,ML,T0,This study
TG_GO_T1_ML_0AE_S372_host_removed_R2.fastq.gz,GO,ML,T0,This study
TG_ID058_WL_T6_S96_host_removed_R2.fastq.gz,ID058,WL,T6,This study
TG_ID093_WL_T2_S5_host_removed_R2.fastq.gz,ID093,WL,T2,This study
TG_ID061_WL_T1_S293_host_removed_R2.fastq.gz,ID061,WL,T1,This study
TG_ID052_MG_T5_S154_host_removed_R2.fastq.gz,ID052,MG,T5,This study
TG_ID087_WL_T2_S322_host_removed_R2.fastq.gz,ID087,WL,T2,This study
TG_ID052_MG_T3_S64_host_removed_R1.fastq.gz,ID052,MG,T3,This study
TG_SK_T1_ML_0AE_S13_host_removed_R1.fastq.gz,SK,ML,T0,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID083_WG_T5_S17_host_removed_R2.fastq.gz,ID083,WG,T5,This study
TG_ID113_WG_T5_S19_host_removed_R2.fastq.gz,ID113,WG,T5,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID115_MG_T6_S98_host_removed_R1.fastq.gz,ID115,MG,T6,This study
TG_ID050_ML_T3_S156_host_removed_R2.fastq.gz,ID050,ML,T3,This study
TG_ID088_WL_T1_S377_host_removed_R1.fastq.gz,ID088,WL,T1,This study
TG_ID113_WG_T1_S60_host_removed_R1.fastq.gz,ID113,WG,T1,This study
TG_ID056_WL_T2_S47_host_removed_R2.fastq.gz,ID056,WL,T2,This study
TG_ID036_ML_T6_S8_host_removed_R2.fastq.gz,ID036,ML,T6,This study
TG_ID054_MG_T5_S93_host_removed_R2.fastq.gz,ID054,MG,T5,This study
TG_ID037_ML_T2_S173_host_removed_R1.fastq.gz,ID037,ML,T2,This study
TG_ID093_WG_T1_S163_host_removed_R1.fastq.gz,ID093,WG,T1,This study
TG_ID014_MG_T2_S6_host_removed_R2.fastq.gz,ID014,MG,T2,This study
TG_ID056_WG_T2_S35_host_removed_R2.fastq.gz,ID056,WG,T2,This study
TG_ID009_MG_T6_S16_host_removed_R1.fastq.gz,ID009,MG,T6,This study
TG_ID103_WL_T4_S158_host_removed_R2.fastq.gz,ID103,WL,T4,This study
TG_ID125_MG_T1_S178_host_removed_R2.fastq.gz,ID125,MG,T1,This study
TG_ID107_WL_T5_S111_host_removed_R1.fastq.gz,ID107,WL,T5,This study
TG_ID088_WG_T2_S368_host_removed_R1.fastq.gz,ID088,WG,T2,This study
TG_ID061_WG_T6_S157_host_removed_R1.fastq.gz,ID061,WG,T6,This study
TG_ID036_ML_T1_S153_host_removed_R1.fastq.gz,ID036,ML,T1,This study
TG_ID042_MG_T2_S126_host_removed_R2.fastq.gz,ID042,MG,T2,This study
TG_ID058_WL_T6_S96_host_removed_R1.fastq.gz,ID058,WL,T6,This study
TG_ID054_MG_T3_S383_host_removed_R1.fastq.gz,ID054,MG,T3,This study
TG_ID090_WG_T4_S51_host_removed_R2.fastq.gz,ID090,WG,T4,This study
TG_ID124_MG_T2_S7_host_removed_R2.fastq.gz,ID124,MG,T2,This study
TG_ID083_WL_T3_S182_host_removed_R2.fastq.gz,ID083,WL,T3,This study
TG_ID086_WG_T4_S43_host_removed_R2.fastq.gz,ID086,WG,T4,This study
TG_ID107_WG_T6_S108_host_removed_R2.fastq.gz,ID107,WG,T6,This study
TG_FU_MLC2_S155_host_removed_R1.fastq.gz,FU,Medium control,T0,This study
TG_ID113_WG_T1_S60_host_removed_R1.fastq.gz,ID113,WG,T1,This study
TG_ID049_MG_T3_S103_host_removed_R1.fastq.gz,ID049,MG,T3,This study
TG_ID060_WG_T2_S175_host_removed_R2.fastq.gz,ID060,WG,T2,This study
TG_FU_T3_MG_0AN_S178_host_removed_R2.fastq.gz,FU,MG,T0,This study
TG_FL_T3_WG_0AN_S179_host_removed_R1.fastq.gz,FL,WG,T0,This study
TG_ID054_MG_T2_S151_host_removed_R1.fastq.gz,ID054,MG,T2,This study
TG_ID011_ML_T5_S122_host_removed_R1.fastq.gz,ID011,ML,T5,This study
TG_ID125_MG_T4_S11_host_removed_R2.fastq.gz,ID125,MG,T4,This study
TG_ID107_WG_T5_S107_host_removed_R1.fastq.gz,ID107,WG,T5,This study
TG_ID053_MG_T3_S89_host_removed_R2.fastq.gz,ID053,MG,T3,This study
TG_ID058_WG_T5_S60_host_removed_R2.fastq.gz,ID058,WG,T5,This study
TG_ID009_MG_T3_S152_host_removed_R1.fastq.gz,ID009,MG,T3,This study
TG_ID086_WL_T5_S6_host_removed_R2.fastq.gz,ID086,WL,T5,This study
TG_ID020_MG_T3_S118_host_removed_R2.fastq.gz,ID020,MG,T3,This study
TG_GO_T2_ML_0AN_S85_host_removed_R2.fastq.gz,GO,ML,T0,This study
TG_ID124_ML_T6_S119_host_removed_R1.fastq.gz,ID124,ML,T6,This study
TG_FU_T1_ML_0AN_S37_host_removed_R1.fastq.gz,FU,ML,T0,This study
TG_ID115_ML_T2_S123_host_removed_R2.fastq.gz,ID115,ML,T2,This study
TG_ID113_WL_T3_S73_host_removed_R1.fastq.gz,ID113,WL,T3,This study
TG_ID058_WG_T6_S84_host_removed_R2.fastq.gz,ID058,WG,T6,This study
TG_ID124_MG_T2_S7_host_removed_R1.fastq.gz,ID124,MG,T2,This study
TG_ID089_WG_T3_S112_host_removed_R1.fastq.gz,ID089,WG,T3,This study
TG_ID087_WG_T4_S45_host_removed_R2.fastq.gz,ID087,WG,T4,This study
TG_ID092_WL_T6_S21_host_removed_R1.fastq.gz,ID092,WL,T6,This study
TG_ID113_WL_T3_S73_host_removed_R1.fastq.gz,ID113,WL,T3,This study
TG_ID048_MG_T4_S13_host_removed_R2.fastq.gz,ID048,MG,T4,This study
TG_ID056_WG_T5_S83_host_removed_R1.fastq.gz,ID056,WG,T5,This study
TG_ID009_ML_T4_S55_host_removed_R2.fastq.gz,ID009,ML,T4,This study
TG_ID050_ML_T6_S179_host_removed_R1.fastq.gz,ID050,ML,T6,This study
TG_ID056_WL_T6_S24_host_removed_R1.fastq.gz,ID056,WL,T6,This study
TG_ID107_WG_T6_S108_host_removed_R2.fastq.gz,ID107,WG,T6,This study
TG_ID083_WG_T4_S39_host_removed_R1.fastq.gz,ID083,WG,T4,This study
TG_ID088_WG_T5_S42_host_removed_R2.fastq.gz,ID088,WG,T5,This study
TG_ID084_WL_T3_S158_host_removed_R1.fastq.gz,ID084,WL,T3,This study
TG_ID061_WG_T5_S133_host_removed_R2.fastq.gz,ID061,WG,T5,This study
TG_ID012_ML_T5_S141_host_removed_R1.fastq.gz,ID012,ML,T5,This study
TG_ID087_WG_T3_S159_host_removed_R2.fastq.gz,ID087,WG,T3,This study
TG_ID050_ML_T1_S132_host_removed_R1.fastq.gz,ID050,ML,T1,This study
TG_ID092_WG_T2_S160_host_removed_R1.fastq.gz,ID092,WG,T2,This study
TG_ID053_MG_T6_S91_host_removed_R2.fastq.gz,ID053,MG,T6,This study
TG_ID061_WL_T3_S116_host_removed_R2.fastq.gz,ID061,WL,T3,This study
TG_ID056_WL_T1_S23_host_removed_R2.fastq.gz,ID056,WL,T1,This study
TG_ID058_WG_T6_S84_host_removed_R1.fastq.gz,ID058,WG,T6,This study
TG_ID103_WG_T1_S67_host_removed_R1.fastq.gz,ID103,WG,T1,This study
TG_ID042_ML_T4_S176_host_removed_R2.fastq.gz,ID042,ML,T4,This study
TG_ID092_WG_T3_S58_host_removed_R2.fastq.gz,ID092,WG,T3,This study
TG_ID058_WL_T6_S96_host_removed_R2.fastq.gz,ID058,WL,T6,This study
